mode,frequency_GHz,node,real,imag
1,-72.95015000000001,1,2.7009146688050342e-21,1.3631843329460275e-20
2,-68.30014,1,-1.6248041766624212e-21,2.059904578325515e-21
1,-68.10014000000001,1,7.498691439917512e-22,-5.541902887933702e-21
3,-63.65013000000001,1,1.863771118367383e-21,4.942359897744672e-21
2,-63.45013,1,-4.11922031767085e-21,-1.703350514597695e-21
1,-63.250130000000006,1,7.996552938166167e-21,-2.0671083588569125e-21
4,-59.00012000000001,1,-3.501176765889845e-21,-5.400337837293272e-21
3,-58.80012000000001,1,2.733615697953805e-21,8.37229158094461e-21
2,-58.600120000000004,1,-3.2079648557820056e-21,-4.324291965389194e-21
1,-58.40012,1,-3.1784630186033683e-21,-5.143295234160528e-21
5,-54.35011000000001,1,2.915733548101404e-21,-5.023662112988252e-21
4,-54.150110000000005,1,1.3179534495718211e-21,1.8865269562774165e-21
3,-53.95011000000001,1,-3.1348779590412124e-20,-2.539842808011724e-20
2,-53.75011,1,-1.2190118698549025e-19,3.387263164603517e-20
1,-53.550110000000004,1,3.0945815542037143e-19,-2.1816516181621398e-20
6,-49.700100000000006,1,3.469773427988009e-21,1.0981987223349132e-21
5,-49.5001,1,1.7485151866268673e-21,-5.746079231869528e-21
4,-49.30010000000001,1,8.98083022848206e-21,1.3926560186048291e-21
3,-49.100100000000005,1,-4.8359704785278894e-21,-1.6518725009930061e-21
2,-48.9001,1,-1.1822009554605293e-21,1.5180787237226e-21
1,-48.7001,1,1.6465964328572724e-20,2.757523571040488e-20
7,-45.050090000000004,1,3.923471140541561e-21,1.4054983070981104e-21
6,-44.85009000000001,1,3.405068112465079e-20,-1.610247545705648e-20
5,-44.650090000000006,1,1.6947020773609693e-19,-5.104961519174222e-19
4,-44.45009,1,-2.306788557615794e-18,-5.024324638880064e-18
3,-44.25009000000001,1,-4.066906838871468e-17,-1.5061589167575162e-17
2,-44.05009,1,-2.0126185435542669e-16,1.0205132208271899e-16
1,-43.85009,1,1.4845325962559357e-17,4.0487636608291093e-16
8,-40.40008000000001,1,-6.7337448152594445e-21,-2.418778931269232e-21
7,-40.20008000000001,1,-2.188573640387461e-20,-1.5951037585211728e-21
6,-40.000080000000004,1,-1.2354802403464603e-20,-3.39612889204554e-21
5,-39.80008,1,-2.1468485932967696e-21,-4.248007454385112e-21
4,-39.600080000000005,1,7.239262151175656e-21,8.675715241774962e-21
3,-39.40008,1,7.844383696896819e-22,-8.311894307978559e-21
2,-39.20008,1,1.2166635583846883e-20,1.2096069840489791e-20
1,-39.000080000000004,1,2.0601664777404585e-20,4.147224843087944e-23
9,-35.75007000000001,1,-6.136486769139009e-21,-3.8326203044990077e-22
8,-35.550070000000005,1,4.801002737964e-20,1.7507025837681923e-20
7,-35.35007000000001,1,9.589031445825454e-19,-9.374244341338679e-20
6,-35.15007000000001,1,1.1172326354486932e-17,-1.246839821973449e-17
5,-34.950070000000004,1,-5.182686825002612e-18,-2.567143595180472e-16
4,-34.75007,1,-2.3637098203684236e-15,-2.3969390865176737e-15
3,-34.55007,1,-3.565911999390319e-14,-8.46108161625578e-16
2,-34.35007,1,-1.9873577824075907e-13,1.897671103323705e-13
1,-34.15007,1,3.886793002305243e-14,1.1600940341435378e-12
10,-31.10006000000001,1,-1.079179558343902e-20,-4.445002692995453e-22
9,-30.900060000000003,1,7.161360396046536e-21,2.1178519281825698e-20
8,-30.700060000000004,1,-9.398578974662111e-21,3.329943010959918e-20
7,-30.500060000000005,1,-1.4869566072305904e-20,2.165535417464198e-20
6,-30.300060000000002,1,-3.65978484956822e-21,-1.474017871833934e-20
5,-30.100060000000003,1,-1.980766318610244e-20,-4.239556557587507e-21
4,-29.900060000000003,1,-1.4957680625299267e-20,-1.3091389010311897e-20
3,-29.700060000000004,1,1.5529831254887397e-21,-1.3014582845901167e-21
2,-29.500060000000005,1,-1.1129811165791553e-20,7.350671994777059e-21
1,-29.300060000000002,1,3.152666197731128e-20,-2.879144493686688e-20
11,-26.450050000000008,1,-9.966999807448416e-21,-5.838597712752526e-21
10,-26.25005000000001,1,-7.454419389264699e-21,1.4923758758699343e-20
9,-26.050050000000002,1,1.7412791202895536e-19,2.3505432290716624e-19
8,-25.850050000000003,1,7.227365190942641e-18,1.965600933392438e-18
7,-25.650050000000004,1,1.616901417086701e-16,-8.017359794566655e-17
6,-25.45005,1,1.492330975119761e-15,-3.73835196126035e-15
5,-25.25005,1,-2.8353096992711794e-14,-7.595141751165582e-14
4,-25.050050000000002,1,-1.2772398386094312e-12,-6.464951549752682e-13
3,-24.850050000000003,1,-2.0300982261474724e-11,5.9692352392999335e-12
2,-24.650050000000004,1,-1.1953738512915354e-10,2.097294592831258e-10
1,-24.45005,1,4.731112926867486e-10,1.7173581342273957e-9
12,-21.800040000000006,1,-5.59457197908256e-21,8.680632681554298e-21
11,-21.600040000000007,1,8.529914299316673e-21,4.990859850423059e-21
10,-21.400040000000008,1,6.197504747892572e-21,1.335403692933877e-21
9,-21.20004,1,-2.4220256857405887e-20,1.1907685101085796e-20
8,-21.000040000000002,1,1.9464130441517635e-20,-1.1755342143138353e-21
7,-20.800040000000003,1,-4.282993584334741e-20,-2.2968462286550314e-20
6,-20.60004,1,1.4456883923624045e-20,1.5168803745228858e-21
5,-20.400040000000004,1,7.414377101557063e-21,-3.652945015400294e-20
4,-20.200040000000005,1,-1.1121990943444345e-20,1.455838157362722e-21
3,-20.000040000000002,1,1.435226601780772e-20,3.569697313281537e-21
2,-19.800040000000003,1,-1.443331196721634e-20,1.9864107870980303e-20
1,-19.60004,1,-9.20790909288281e-21,4.451135767026943e-20
13,-17.150030000000005,1,-4.116804313588459e-21,9.484546533281407e-21
12,-16.950030000000005,1,-1.0969295933916572e-20,1.555971598798591e-20
11,-16.750030000000006,1,1.5755351428810187e-20,-1.7374525514001735e-20
10,-16.550030000000007,1,8.528584745227461e-20,3.818518355049166e-19
9,-16.35003,1,1.1104221915153155e-17,7.565514937904305e-18
8,-16.15003,1,4.509480229320047e-16,-4.929371772532545e-17
7,-15.950030000000003,1,1.0036351042319057e-14,-1.0670420107960938e-14
6,-15.750030000000004,1,1.9351339659258745e-14,-4.4545939668583576e-13
5,-15.550030000000005,1,-7.86153477899798e-12,-9.848536629485031e-12
4,-15.350030000000002,1,-3.184801254551104e-10,-5.546419283065478e-11
3,-15.150030000000001,1,-6.140985249298439e-9,3.873761225780408e-9
2,-14.950030000000002,1,-3.419657444022478e-8,1.2943723543439068e-7
1,-14.750030000000002,1,8.617704691923559e-7,1.5464606290790696e-6
14,-12.500020000000012,1,-4.020025538604873e-21,5.2775166510082056e-20
13,-12.300020000000004,1,-3.011596709047828e-20,-2.4479862238217148e-20
12,-12.100020000000004,1,6.5087153883303684e-21,3.282380313189534e-20
11,-11.900020000000005,1,-6.206845354957799e-20,1.1692413782341365e-20
10,-11.700020000000006,1,-1.1215253595129888e-20,1.8194386997751865e-20
9,-11.500020000000001,1,1.155811784757009e-19,8.060278376520603e-21
8,-11.300020000000002,1,-1.0453705029654667e-19,-6.047099551020674e-20
7,-11.100020000000008,1,-2.3001008928875494e-20,5.541214537724246e-20
6,-10.900020000000003,1,-3.430531807518823e-20,2.867282897131105e-20
5,-10.700020000000004,1,1.2988468482632625e-20,6.192783748445663e-20
4,-10.500020000000001,1,1.9122882485843017e-20,-3.547153722001155e-21
3,-10.30002,1,1.4793745408807742e-20,2.522863317250638e-20
2,-10.100020000000002,1,6.502002808741292e-20,-1.57857599387858e-20
1,-9.900020000000001,1,1.2106079685002972e-19,-9.401007684970953e-20
15,-7.850010000000011,1,-7.66660076632306e-20,7.661751047294875e-20
14,-7.6500100000000115,1,9.215348200940543e-20,6.600271576013036e-20
13,-7.4500100000000025,1,-5.1082045475978357e-20,1.3465794640744553e-20
12,-7.250010000000002,1,-1.781952355649019e-20,4.5541858869314783e-20
11,-7.050010000000003,1,5.821750215386841e-20,3.1413635134144e-20
10,-6.850010000000004,1,1.104104211349398e-18,1.2621984290003107e-18
9,-6.65001,1,7.837881362440375e-17,1.072005090410994e-17
8,-6.450010000000005,1,3.2112478769502695e-15,-1.9413655435233875e-15
7,-6.250010000000006,1,5.861735719581442e-14,-1.6513256193602891e-13
6,-6.050010000000002,1,-2.7075787140737924e-12,-7.544625196163346e-12
5,-5.850010000000003,1,-3.067909234596584e-10,-1.829970702343066e-10
4,-5.650010000000001,1,-1.520019139517698e-8,2.30816976196735e-9
3,-5.450010000000002,1,-4.1728245524950044e-7,4.727649831130496e-7
2,-5.2500100000000005,1,-7.604374953789796e-7,2.3871809875542533e-5
1,-5.050010000000001,1,0.0005477367985547121,0.0006198401985492984
15,-3.0000000000000093,1,1.5403137328771467e-19,-3.3361351809173683e-19
14,-2.80000000000001,1,-9.360233312291245e-20,3.074289825257767e-20
13,-2.600000000000001,1,-1.109017704482409e-19,-1.3289372247850655e-20
12,-2.4000000000000017,1,5.92737673717287e-20,-1.8402049831661954e-20
11,-2.2000000000000024,1,3.281904405100689e-20,6.83341749540045e-20
10,-2.000000000000003,1,2.8790481409027373e-20,-7.67237959847796e-21
9,-1.8000000000000036,1,-1.0108425111093647e-20,-3.9897929959941027e-20
8,-1.6000000000000043,1,-6.296866342263351e-20,3.372255052734537e-20
7,-1.400000000000005,1,3.700421103806084e-20,-1.978923363547166e-21
6,-1.2000000000000008,1,-1.576836951338696e-20,-6.142663552228773e-21
5,-1.0000000000000016,1,7.275787025175215e-21,7.985020713275063e-21
4,-0.8000000000000022,1,4.6773787434476726e-21,4.132960779769981e-21
3,-0.6000000000000004,1,1.0205092863219658e-20,6.759453455289109e-21
2,-0.4000000000000011,1,5.33032654974229e-21,9.10310317892662e-21
1,-0.20000000000000054,1,1.0461741864096861e-20,-6.316117804458714e-21
15,1.8500099999999915,1,-9.212609193712474e-20,-2.29706431527461e-20
14,2.050009999999991,1,3.9798618490575875e-20,-1.1078991882653016e-19
13,2.25001,1,6.816792306648859e-20,5.779882864283813e-21
12,2.4500099999999994,1,1.1217011087207648e-19,-5.001014105731048e-20
11,2.6500099999999986,1,-3.3405794760612233e-19,1.2247795334964812e-20
10,2.850009999999993,1,1.153741210080307e-17,-6.587847820241356e-18
9,3.0500099999999972,1,-3.414646407655041e-16,6.139393443213775e-16
8,3.2500099999999965,1,-1.5920286562277285e-15,-3.697546150230652e-14
7,3.450009999999996,1,1.0816125728574299e-12,1.6011448695278898e-12
6,3.65001,1,-9.02361356728029e-11,-4.060925181248671e-11
5,3.850009999999997,1,4.939280353676913e-9,-6.486901220284184e-10
4,4.0500099999999986,1,-1.8602464244550402e-7,1.5536226076289296e-7
3,4.25001,1,3.4613489477018515e-6,-1.041701632577677e-5
