mode,frequency_GHz,node,real,imag
1,-34.15007,1,3.887359355592903e-14,1.1600743801030846e-12
2,-29.500060000000005,1,4.3854163988038965e-17,1.3783061727490374e-16
1,-29.300060000000002,1,8.6505101879321e-18,-4.974767098998719e-18
3,-24.850050000000003,1,-2.0300553700119418e-11,5.9692007569972505e-12
2,-24.650050000000004,1,-1.1953736513795282e-10,2.0972943261081895e-10
1,-24.45005,1,4.731112923556641e-10,1.7173581310062198e-9
4,-20.200040000000005,1,-1.5609077381872605e-18,2.348176464926864e-18
3,-20.000040000000002,1,1.0395457036966514e-19,-1.2352262846744559e-18
2,-19.800040000000003,1,4.8473547487765537e-20,2.30447435415155e-19
1,-19.60004,1,9.761382002642437e-20,-3.111994866691616e-20
5,-15.550030000000005,1,-7.861847791749776e-12,-9.848865953422166e-12
4,-15.350030000000002,1,-3.184795604281875e-10,-5.5464025882756867e-11
3,-15.150030000000001,1,-6.140985197989357e-9,3.873761200220257e-9
2,-14.950030000000002,1,-3.419657443898466e-8,1.2943723543091028e-7
1,-14.750030000000002,1,8.61770469192357e-7,1.5464606290788742e-6
6,-10.900020000000003,1,-8.226404379628608e-18,8.44359599787359e-19
5,-10.700020000000004,1,-2.307393751287062e-19,7.597458916349299e-19
4,-10.500020000000001,1,1.2799536690391368e-19,7.254362584600063e-21
3,-10.30002,1,8.242752051293774e-20,9.820855391524262e-21
2,-10.100020000000002,1,5.09903604570792e-20,-5.503768622756757e-20
1,-9.900020000000001,1,-8.455550512631955e-20,3.2619919912589114e-20
7,-6.250010000000006,1,6.041469677678577e-14,-1.6665929700286107e-13
6,-6.050010000000002,1,-2.7074196984543504e-12,-7.542475495160777e-12
5,-5.850010000000003,1,-3.067912843688429e-10,-1.829970496190483e-10
4,-5.650010000000001,1,-1.5200191171970355e-8,2.3081696722771516e-9
3,-5.450010000000002,1,-4.172824552632266e-7,4.727649831459461e-7
2,-5.2500100000000005,1,-7.604374953816945e-7,2.3871809875536292e-5
1,-5.050010000000001,1,0.0005477367985547048,0.0006198401985492867
7,-1.400000000000005,1,2.4362544827707716e-17,-4.00379262127515e-18
6,-1.2000000000000008,1,1.9149593005709467e-19,1.8120183600617602e-19
5,-1.0000000000000016,1,1.586521768114258e-20,7.250563695341858e-20
4,-0.8000000000000022,1,1.3753115129264205e-20,3.145468824406476e-20
3,-0.6000000000000004,1,-4.53437552182445e-21,-4.55134078327265e-20
2,-0.4000000000000011,1,9.76191360438577e-22,-2.849249430207021e-21
1,-0.20000000000000054,1,-5.555891909938831e-20,2.1815097083936593e-21
7,3.450009999999996,1,1.0867684881302766e-12,1.6192705682863e-12
6,3.65001,1,-9.024459124661232e-11,-4.0615522839254526e-11
5,3.850009999999997,1,4.939281665161169e-9,-6.486901622520615e-10
4,4.0500099999999986,1,-1.860246425516346e-7,1.5536226084450786e-7
3,4.25001,1,3.4613489477075342e-6,-1.0417016325791693e-5
2,4.450009999999999,1,0.00014894526474554945,0.0004789601081304313
1,4.65001,1,-0.018333719554842465,0.04193665989191666
0,4.85001,1,0.010692379449975887,0.04533780794635352
7,8.300019999999996,1,2.31180929053259e-17,-2.530866065724644e-17
6,8.50002,1,1.3823751084364724e-19,-9.939865255492737e-19
5,8.700019999999999,1,-2.20865809737432e-19,-3.315357616191116e-19
4,8.900019999999998,1,-1.4849883689264256e-20,1.7905311475608623e-20
3,9.100019999999999,1,-3.9557198138502413e-20,5.769168574032873e-20
2,9.30002,1,9.625828400821893e-20,1.7965683038920777e-19
1,9.500020000000001,1,-8.858164474325322e-19,-1.338702757799775e-19
0,9.70002,1,1.628172000500059e-19,3.793162930370737e-19
7,13.150029999999996,1,3.8337314623470204e-11,8.05859404828279e-11
6,13.35003,1,-2.059078776393655e-9,-1.1487261042910048e-9
5,13.550029999999996,1,5.2274930215556995e-8,-7.079371231063728e-9
4,13.750029999999999,1,-6.126990063023098e-7,6.464633285204916e-7
3,13.95003,1,5.073963295021754e-7,-8.879424673308074e-6
2,14.15003,1,1.537275179607356e-5,2.2623702766351447e-5
1,14.350030000000002,1,-3.0337224442815263e-5,-1.0559920570129916e-5
0,14.550030000000001,1,1.0863697984781456e-5,-3.0956198770552313e-6
7,18.000039999999995,1,1.837243255395117e-19,-2.608732616237275e-19
6,18.200039999999998,1,-3.1322164705402865e-20,-3.124539144349769e-20
5,18.400039999999997,1,3.495944411975387e-20,-1.1194809250464897e-19
4,18.60004,1,1.518574580538861e-20,-7.811081109012196e-20
3,18.800040000000003,1,2.5224588127324968e-20,3.5141175940363035e-20
2,19.000040000000002,1,-4.4328569162597087e-20,-3.3578597067230064e-20
1,19.20004,1,-3.285259358231411e-20,4.556585534417122e-20
0,19.40004,1,-7.074096447475681e-20,-1.027851706542454e-19
7,22.850049999999996,1,5.2033697913711545e-11,6.510197941841057e-11
6,23.05005,1,-9.227541399624613e-10,-1.9913823990093552e-10
5,23.250049999999998,1,6.227213461411093e-9,-3.2215815760083187e-9
4,23.450049999999997,1,-1.1381968014727245e-8,2.492714603732791e-8
3,23.650050000000004,1,-1.2625391388307057e-8,-5.604031262805087e-8
2,23.850050000000003,1,4.892277675370054e-8,4.207475357126615e-8
1,24.050050000000002,1,-3.4267492107327806e-8,-3.0674409068252916e-9
0,24.25005,1,3.814503152616853e-9,-1.558716188353341e-9
7,27.700059999999997,1,-4.99754363910765e-20,-1.8050809282586096e-20
6,27.90006,1,2.2486339779509615e-20,-1.0719082566861386e-20
5,28.10006,1,-8.700117461100427e-21,-2.203776356560969e-20
4,28.30006,1,-3.273511182240101e-20,3.6573681917611144e-20
3,28.500059999999998,1,-8.629130230089283e-20,8.591045059994636e-20
2,28.700060000000004,1,7.014545839397928e-20,3.5413473241774574e-19
1,28.900060000000003,1,1.0433075308774755e-20,-7.555797568258467e-19
0,29.100060000000003,1,-8.738780889503743e-18,-2.0323323827961353e-18
7,32.55007,1,5.284930286359704e-12,2.9578096477585438e-12
6,32.75007,1,-2.5576907503482904e-11,4.147342779474428e-12
5,32.950070000000004,1,4.8387407298739784e-11,-5.171300329279124e-11
4,33.15007,1,-1.2846781767908122e-11,1.2303444666907795e-10
3,33.35007,1,-6.896618213682281e-11,-1.1638524074278414e-10
2,33.55007,1,7.873486661470537e-11,3.4317049161395384e-11
