port,mode,raw_index,real,imag
1.0,1.0,1.0,-410.06777960142034,443.1823532734948
1.0,2.0,2.0,-6.141728392641827e-15,-3.2906749753933803e-15
1.0,3.0,3.0,0.3717725584394879,-0.021244172736650052
1.0,4.0,4.0,3.7763567803542856e-15,-7.341723038921062e-16
1.0,5.0,5.0,0.0001741349760480454,-0.0003365973020905079
1.0,6.0,6.0,6.346950581697774e-16,-1.3314543148033756e-15
1.0,7.0,7.0,-1.891695002979763e-7,-3.380026913286743e-7
1.0,8.0,8.0,3.4785748219413097e-15,-3.6972041755400694e-15
1.0,0.0,9.0,-528.1825334397906,-263.9675925657789
1.0,1.0,10.0,4.625421873919376e-15,3.0606307101107814e-14
1.0,2.0,11.0,-0.9539976362732128,-0.6482391069193709
1.0,3.0,12.0,-1.7080501151924582e-15,-1.2260506230547794e-15
1.0,4.0,13.0,-0.0013531607016835138,0.0006178658319842948
1.0,5.0,14.0,1.3095620316193748e-15,5.169918201439179e-16
1.0,6.0,15.0,-2.6606085339731495e-7,1.6408129733861098e-6
1.0,7.0,16.0,-2.549093845822019e-16,-1.8508623757608085e-16
1.0,8.0,17.0,-1.7218286603848803e-8,-3.9403609215241115e-8
1.0,0.0,18.0,-1.324319410474117e-14,-5.684490288008686e-15
1.0,1.0,19.0,0.4484272418733455,1.2882708532358706
1.0,2.0,20.0,1.6407587793458506e-15,2.1660371600322696e-15
1.0,3.0,21.0,0.0030550724441916516,0.0006882810519555273
1.0,4.0,22.0,-2.181058396260678e-15,1.952146646148863e-15
1.0,5.0,23.0,3.3276133920124666e-6,-3.113618902008224e-6
1.0,6.0,24.0,3.1388988467287528e-15,7.512591322113879e-16
1.0,7.0,25.0,-1.8993292601028846e-9,-1.0396487585451408e-9
1.0,8.0,26.0,1.094089089796299e-15,-1.2449849282562015e-15
1.0,0.0,27.0,0.13236845597280458,-0.4645308485899522
1.0,1.0,28.0,-2.238182655154222e-15,1.613710629974431e-15
1.0,2.0,29.0,-0.002303409533328458,-0.00267830898119227
1.0,3.0,30.0,-5.141310298806332e-15,5.1641023661126954e-15
1.0,4.0,31.0,-7.940975887927961e-6,8.291660345400688e-7
1.0,5.0,32.0,2.0434161306291613e-14,3.895444533156764e-14
1.0,6.0,33.0,-6.170526198394239e-9,1.07298498540063e-8
1.0,7.0,34.0,3.889816133416984e-14,-2.3173910223199975e-15
1.0,8.0,35.0,2.102039164503574e-9,-1.2578608146225745e-7
1.0,0.0,36.0,5.0750077054411105e-15,3.4928281727272514e-15
1.0,1.0,37.0,0.0001686316652655856,0.001883845340158373
1.0,2.0,38.0,-2.12674224287125e-14,-4.2125579858703506e-15
1.0,3.0,39.0,7.534444119034787e-6,4.464671311386044e-6
1.0,4.0,40.0,-1.2316070199218158e-13,4.327825868937749e-13
1.0,5.0,41.0,1.8444319295578644e-8,-7.593689345417803e-9
1.0,6.0,42.0,5.217697402737162e-13,4.3985522538727267e-13
1.0,7.0,43.0,-4.1820013199187054e-9,5.267291706711205e-9
1.0,8.0,44.0,1.3690704396043116e-13,-5.057960883483705e-14
1.0,0.0,45.0,8.604552665265384e-5,-0.000210571324746338
1.0,1.0,46.0,4.553387575510112e-14,-6.287335659296375e-16
1.0,2.0,47.0,-2.228238040290408e-6,-5.112328395806165e-6
1.0,3.0,48.0,-3.1805204059247616e-12,1.770129503832858e-12
1.0,4.0,49.0,-2.084369361918534e-8,-5.297606037875589e-9
1.0,5.0,50.0,1.335057041744129e-12,1.0770924880687605e-11
1.0,6.0,51.0,2.4409910222065464e-10,-4.459030063085487e-11
1.0,7.0,52.0,3.5876956555067777e-12,1.433459300153192e-12
1.0,8.0,53.0,8.243061358222348e-9,-2.4291382988921698e-8
1.0,0.0,54.0,1.2289850824581838e-13,5.284485669265686e-13
1.0,1.0,55.0,-2.6470703665685583e-7,1.5737853962672197e-6
1.0,2.0,56.0,-1.7687042338371407e-11,-5.840288832592308e-12
1.0,3.0,57.0,9.65554232443178e-9,1.158689427643321e-8
1.0,4.0,58.0,-8.803899032376427e-11,1.2005238923119876e-10
1.0,5.0,59.0,4.27480575193892e-11,-4.3888580871702e-12
1.0,6.0,60.0,4.0460887797369724e-11,8.217652064872653e-11
1.0,7.0,61.0,-6.549976337484414e-10,4.95258136655174e-10
1.0,8.0,62.0,4.469573837750269e-12,7.422566915659125e-13
1.0,0.0,63.0,-9.837534167548772e-8,2.5537647781018863e-9
1.0,1.0,64.0,-5.4379101864038366e-12,-3.5535431421478805e-11
1.0,2.0,65.0,-5.765876464397212e-10,-5.9946389521168586e-9
1.0,3.0,66.0,-1.6268214865961257e-9,2.8185101899551023e-10
1.0,4.0,67.0,-3.1928797759233325e-11,-2.267265429102919e-11
1.0,5.0,68.0,-5.277844828157095e-10,1.8147495611518623e-9
1.0,6.0,69.0,2.2379354622751525e-11,-1.2066645026363698e-12
1.0,7.0,70.0,9.351945374260542e-11,1.1213084163773136e-10
1.0,8.0,71.0,-3.863929781775011e-11,9.494238355273669e-11
1.0,0.0,72.0,7.605330271196586e-12,2.9909301098568384e-10
1.0,1.0,73.0,-2.385166071255374e-10,7.460027514430138e-10
1.0,2.0,74.0,-1.0152082559226129e-8,-7.203219022404958e-9
1.0,3.0,75.0,6.369196924201098e-12,1.7902510760194e-11
1.0,4.0,76.0,-2.8257523173699482e-8,1.6942164324505568e-8
1.0,5.0,77.0,-4.025881396443031e-13,-2.6443111788333227e-13
1.0,6.0,78.0,-9.318872449852166e-11,4.4783608565103255e-9
1.0,7.0,79.0,-1.452462147509082e-12,-2.3920752638319627e-13
1.0,8.0,80.0,2.905429189811296e-12,4.481528432802438e-12
1.0,1.0,81.0,7.59952707761336e-8,2.546568839889108e-9
1.0,2.0,82.0,8.391934448216064e-12,2.6700981011709507e-12
1.0,3.0,83.0,3.335682840527176e-7,-1.1344267245712943e-6
1.0,4.0,84.0,1.183073639145475e-13,-7.864267553013954e-14
1.0,5.0,85.0,-4.3536827009535784e-7,-3.4753230362098657e-7
1.0,6.0,86.0,3.124971240192834e-14,-3.044588715875299e-13
1.0,7.0,87.0,-4.670623215654541e-9,1.6931205783709806e-9
1.0,1.0,88.0,-3.0186442934343686e-13,5.249052406765511e-13
1.0,2.0,89.0,1.1672750861476524e-5,-6.652999841380842e-6
1.0,3.0,90.0,-6.19251245396795e-14,5.211514518821115e-15
1.0,4.0,91.0,-2.4359643948681083e-6,-1.3987532591598256e-5
1.0,5.0,92.0,2.785900408465983e-14,-8.460946304519565e-15
1.0,6.0,93.0,-2.0796817758000992e-7,-7.465150413720622e-8
1.0,7.0,94.0,-5.310562503583382e-14,3.2314065510388143e-13
1.0,1.0,95.0,9.519314568559413e-5,2.6224554660782827e-5
1.0,2.0,96.0,1.1495023015813947e-14,2.417924690835468e-15
1.0,3.0,97.0,0.0001690225009007557,-0.0002679475121232734
1.0,4.0,98.0,2.635113061488139e-16,4.649371453454364e-15
1.0,5.0,99.0,-4.9616636942971935e-6,-8.318140541328418e-6
1.0,6.0,100.0,2.225144139768716e-15,2.3515547962857333e-15
1.0,7.0,101.0,-3.371588246606996e-8,-2.2628311371339935e-8
1.0,1.0,102.0,-1.5444444158916882e-15,4.84445269711966e-15
1.0,2.0,103.0,0.005610288472996246,-0.001482206003182128
1.0,3.0,104.0,3.5332411699625383e-16,2.9654882126213804e-15
1.0,4.0,105.0,6.150313741018594e-5,-0.0004050219780370356
1.0,5.0,106.0,8.12786916526497e-16,1.7784881149809068e-16
1.0,6.0,107.0,8.698492781357935e-7,1.9327386935828567e-6
1.0,7.0,108.0,8.173605341790313e-13,-7.466146479342577e-13
1.0,1.0,109.0,0.06657945743609708,0.03710163013167248
1.0,2.0,110.0,-1.9607680284642772e-15,1.816578337445286e-15
1.0,3.0,111.0,0.01237225559051344,-0.01092027830741402
1.0,4.0,112.0,3.1538084368910473e-16,1.3789578898907638e-16
1.0,5.0,113.0,1.4268330894863699e-5,-0.00010864247568790527
1.0,6.0,114.0,3.248593738975749e-14,-4.517943660957636e-15
1.0,7.0,115.0,-3.27587696755602e-6,-1.558439663550695e-6
1.0,1.0,116.0,1.1505509581581782e-15,-2.9823928967737906e-15
1.0,2.0,117.0,0.6131550990477296,-0.019532081154776514
1.0,3.0,118.0,-3.952027080837959e-16,-3.9372957794765676e-17
1.0,4.0,119.0,-0.0035049232496486885,0.004196656840230704
1.0,5.0,120.0,1.0962142382228534e-14,7.302869656907497e-15
1.0,6.0,121.0,4.705031584542152e-5,8.433716829280221e-5
1.0,7.0,122.0,1.2407127213779932e-14,-8.737925324529731e-15
1.0,1.0,123.0,15.614597334131748,13.798216983240858
1.0,2.0,124.0,-2.0200652499043155e-17,6.92101654412021e-18
1.0,3.0,125.0,0.24073722649723187,-0.07999176727285151
1.0,4.0,126.0,-5.988007058127669e-16,4.966191650160433e-16
1.0,5.0,127.0,0.00029212568719139804,-0.0021570912745887184
1.0,6.0,128.0,1.4942631042079481e-15,1.4979346681524118e-15
1.0,7.0,129.0,-3.4885319336247713e-6,-2.788259564735046e-6
1.0,1.0,130.0,1.0936467832883167e-17,-2.7853111504492657e-16
1.0,2.0,131.0,-11.326214146887883,-3.5221846998030157
1.0,3.0,132.0,-1.9509194322498256e-15,1.3376781340922777e-15
1.0,4.0,133.0,-0.026872040715518037,0.02546853304331124
1.0,5.0,134.0,5.3830822247042185e-15,-1.681043044291017e-15
1.0,6.0,135.0,1.071755034287785e-5,4.966230470886155e-5
1.0,7.0,136.0,1.0649812570597959e-15,2.9485050911941938e-15
