mode,frequency_GHz,node,real,imag
0,0.0,1,0.0,-0.0
1,19.499999999999996,1,1.445197503629533e-5,-0.0001623338743448645
2,38.99999999999999,1,-4.8056351231570417e-8,2.599114116735456e-7
3,58.499999999999986,1,-5.145011419649081e-10,1.8351118265538756e-9
4,77.99999999999999,1,-8.944898404805274e-12,2.3826086184021998e-11
5,97.5,1,1.3381083635257818e-12,-2.862613203785428e-12
6,116.99999999999997,1,-1.353012909757877e-14,2.4093623888227752e-14
7,136.49999999999997,1,5.0613363950386105e-17,-7.714467025288127e-17
8,155.99999999999997,1,-6.381549140304189e-20,1.135988240777991e-19
9,175.5,1,-8.848937171964243e-21,-5.4211102450607915e-21
10,195.0,1,-5.08527067478552e-21,1.2831667379733699e-20
11,214.5,1,2.859753926337415e-21,2.3041231531744952e-21
12,233.99999999999994,1,1.3759394286795722e-21,4.4126130430718215e-21
13,253.49999999999997,1,-1.164394070522703e-21,-3.859813341793241e-21
14,272.99999999999994,1,-4.687874295658914e-21,-1.281668843506523e-21
15,292.49999999999994,1,1.0544926566175726e-23,6.299596413613638e-23
16,311.99999999999994,1,-2.49617153787892e-21,1.6177266816129303e-21
0,0.0,2,-1.0028167731781819,-3.420586194597243e-9
1,19.499999999999996,2,0.001670019414208462,-8.132703424938497e-6
2,38.99999999999999,2,-1.3733954460878467e-6,1.2064892560101734e-8
3,58.499999999999986,2,-6.7528714351846275e-9,7.693450861574702e-11
4,77.99999999999999,2,-6.969148453532509e-11,9.495873674698628e-13
5,97.5,2,7.176893269508305e-12,-1.2750537164619377e-13
6,116.99999999999997,2,-5.448263672721844e-14,1.0594888420403305e-15
7,136.49999999999997,2,1.630058497072667e-16,-3.3120244207017764e-18
8,155.99999999999997,2,-2.086442846958613e-19,3.214230458378008e-20
9,175.5,2,-2.6991146242323474e-21,-1.5449321582125034e-20
10,195.0,2,-1.817432840508342e-20,7.638209848106801e-21
11,214.5,2,7.217501767442057e-22,4.955684496416306e-21
12,233.99999999999994,2,-2.3760031454560934e-21,5.581142587477415e-21
13,253.49999999999997,2,1.8650267737024515e-21,-4.772664581298134e-21
14,272.99999999999994,2,-3.752886136404533e-21,-4.697597904619468e-21
15,292.49999999999994,2,-3.2303687445565215e-23,7.01564320176675e-23
16,311.99999999999994,2,-3.527292811129702e-21,2.580477407244107e-23
0,0.0,3,-1.0028167731781819,-3.420586194597243e-9
1,19.499999999999996,3,-0.002775437776785769,-3.102416059856035e-6
2,38.99999999999999,3,1.3235258836108935e-5,-9.965029877085131e-9
3,58.499999999999986,3,1.546071560295145e-7,-7.532355428623427e-11
4,77.99999999999999,3,2.8848491323972406e-9,-4.648710738057147e-13
5,97.5,3,-4.671638438948456e-10,1.0311389140226416e-12
6,116.99999999999997,3,5.118392714730432e-12,-1.1671907376428699e-14
7,136.49999999999997,3,-2.0851590612524355e-14,4.169249283202813e-17
8,155.99999999999997,3,3.493013963748269e-17,-4.700940644628649e-18
9,175.5,3,5.060577284916651e-19,3.2718008986986145e-18
