port,mode,raw_index,real,imag
1.0,0.0,1.0,0.0,-0.0
1.0,1.0,2.0,8.03584204561916,-0.7154008312041156
1.0,2.0,3.0,-0.018195440899731748,0.0033642481992636176
1.0,3.0,4.0,-0.0001573422655157114,4.4113265532814475e-5
1.0,4.0,5.0,-2.3588750766012475e-6,8.855796855118913e-7
1.0,5.0,6.0,3.168618182458097e-7,-1.4811482337747416e-7
1.0,6.0,7.0,-2.9214603027083552e-9,1.6405890302126374e-9
1.0,7.0,8.0,1.0103624206579958e-11,-6.628823579247369e-12
1.0,8.0,9.0,-1.5905270772664573e-14,8.934975150454871e-15
1.0,9.0,10.0,8.050664560986826e-16,1.3141187260974556e-15
1.0,10.0,11.0,-2.0086549117310155e-15,7.960426042933802e-16
1.0,11.0,12.0,-3.7828948372035685e-16,-4.69512593053448e-16
1.0,12.0,13.0,-7.566738146360201e-16,-2.3594575958609207e-16
1.0,13.0,14.0,6.889063958856222e-16,2.0782313844785752e-16
1.0,14.0,15.0,2.37389815314833e-16,8.682848295047584e-16
1.0,15.0,16.0,-1.2077598672339056e-17,-2.021675401623082e-18
1.0,16.0,17.0,-3.2032244998497816e-16,4.94261355570236e-16
2.0,0.0,18.0,0.0,0.0
2.0,1.0,19.0,96078.23762568114,-16.489921257086277
2.0,2.0,20.0,1.8595394507590894e-6,-0.005766253719233981
2.0,3.0,21.0,3.351038837855799e-8,-3.9957236604440925e-5
2.0,4.0,22.0,3.425661529317529e-10,-6.24052289965359e-7
2.0,5.0,23.0,-1.3553695604747694e-10,6.536379987391089e-8
2.0,6.0,24.0,-2.9936090279957225e-14,-2.9382306675702383e-10
2.0,7.0,25.0,-4.572207032688462e-16,2.7507669327190554e-12
2.0,8.0,26.0,1.1844311884754788e-14,-6.943048857530542e-15
2.0,9.0,27.0,4.011067408473018e-15,8.328009338429597e-15
2.0,10.0,28.0,1.7215572028528278e-14,1.5802645164310724e-14
2.0,11.0,29.0,5.099612247789125e-15,-9.32383145157478e-15
2.0,12.0,30.0,-1.280893023561327e-14,-3.797448698411826e-15
2.0,13.0,31.0,-5.515491373455101e-16,1.516101295980165e-15
2.0,14.0,32.0,5.840389303758626e-15,1.8899966017992198e-14
2.0,15.0,33.0,-1.5464336009643636e-15,-9.252514716648779e-15
2.0,16.0,34.0,3.107908470715632e-16,7.848477413634305e-14
