mode,frequency_GHz,node,real,imag
1,7.120000000000001,1,-1.4757966151791186,2.770090622066085
2,14.240000000000002,1,0.0,-0.0
3,21.360000000000003,1,0.0022816210193824593,-0.03747884905850852
4,28.480000000000004,1,0.0,-0.0
5,35.6,1,-0.004045336618738823,0.010089698244340918
6,42.720000000000006,1,0.0,-0.0
7,49.84,1,0.0008902669361482735,-0.00022342071139256906
8,56.96000000000001,1,0.0,-0.0
9,64.08000000000001,1,-4.1284348215447484e-5,-1.3180127099844586e-5
10,71.2,1,0.0,-0.0
11,78.32000000000001,1,4.907988316496403e-6,-4.3342377965788114e-7
12,85.44000000000001,1,0.0,-0.0
13,92.56000000000002,1,-6.106183713032907e-7,-3.081329039145904e-7
14,99.68,1,0.0,-0.0
15,106.80000000000001,1,4.010537663137407e-8,4.5199522672238905e-8
16,113.92000000000002,1,0.0,-0.0
17,121.04,1,-4.647503069952863e-9,-6.115264943832169e-9
18,128.16000000000003,1,0.0,-0.0
19,135.28,1,3.193609163857369e-10,1.098040209676623e-9
20,142.4,1,0.0,-0.0
1,7.120000000000001,2,-0.2981635978659663,3.1270435709785582
2,14.240000000000002,2,0.0,-0.0
3,21.360000000000003,2,-0.006972685010242544,0.003874114313328397
4,28.480000000000004,2,0.0,-0.0
5,35.6,2,0.00046154475466182905,-0.0003599674179892882
6,42.720000000000006,2,0.0,-0.0
7,49.84,2,-8.841694198612241e-5,-4.306397428871899e-5
8,56.96000000000001,2,0.0,-0.0
9,64.08000000000001,2,6.894703414913076e-6,3.0354028188837866e-6
10,71.2,2,0.0,-0.0
11,78.32000000000001,2,-2.828016071142785e-7,-5.741858994207331e-8
12,85.44000000000001,2,0.0,-0.0
13,92.56000000000002,2,4.866863050133166e-9,5.082603647612807e-9
14,99.68,2,0.0,-0.0
15,106.80000000000001,2,-1.7967140282795206e-11,-5.725240806811278e-10
16,113.92000000000002,2,0.0,-0.0
17,121.04,2,-1.1493416607699182e-11,3.315615487459948e-11
18,128.16000000000003,2,0.0,-0.0
19,135.28,2,1.5061717466753844e-12,-1.104357266480601e-12
20,142.4,2,0.0,-0.0
1,7.120000000000001,3,-0.011200990158138701,3.1404249572584084
2,14.240000000000002,3,0.0,-0.0
3,21.360000000000003,3,-0.0036066876659744747,0.0035842259923633693
4,28.480000000000004,3,0.0,-0.0
5,35.6,3,0.0006924958627675418,0.0001134448236497244
6,42.720000000000006,3,0.0,-0.0
7,49.84,3,-1.6725493946962955e-5,-3.9648977024671396e-5
8,56.96000000000001,3,0.0,-0.0
9,64.08000000000001,3,-2.4755859461620337e-6,3.5206193066344956e-6
10,71.2,3,0.0,-0.0
11,78.32000000000001,3,1.1251215118372595e-7,-1.6149280602365632e-7
12,85.44000000000001,3,0.0,-0.0
13,92.56000000000002,3,-4.576124458008055e-9,1.7774689211389148e-9
14,99.68,3,0.0,-0.0
15,106.80000000000001,3,1.1675551797168005e-10,1.5840593439674435e-10
16,113.92000000000002,3,0.0,-0.0
17,121.04,3,2.9908202224253924e-11,-1.1911339960917405e-11
18,128.16000000000003,3,0.0,-0.0
19,135.28,3,-3.249523782446895e-12,1.2534462905135878e-12
20,142.4,3,0.0,-0.0
1,7.120000000000001,4,-1.3909109430435462,2.766488742272636
2,14.240000000000002,4,0.0,-0.0
3,21.360000000000003,4,-0.004320858660288253,-0.00862557366274137
4,28.480000000000004,4,0.0,-0.0
5,35.6,4,4.6942556602400575e-5,-0.00022891994658228863
6,42.720000000000006,4,0.0,-0.0
7,49.84,4,-1.1576641707019767e-5,7.195252304185385e-5
8,56.96000000000001,4,0.0,-0.0
9,64.08000000000001,4,7.386374032430915e-6,-6.303619460458568e-6
10,71.2,4,0.0,-0.0
11,78.32000000000001,4,-4.111002548576214e-7,1.1208268343327586e-8
