mode,frequency_GHz,node,real,imag
1,4.75001,1,-0.013189736218637059,0.008651273221684639
2,9.50002,1,0.0,-0.0
3,14.250029999999999,1,2.639568253900886e-5,5.6661514233274305e-6
4,19.00004,1,0.0,-0.0
5,23.750049999999998,1,-2.3497663046877495e-8,2.2306503447892106e-8
6,28.500059999999998,1,0.0,-0.0
7,33.250069999999994,1,-7.990410748751798e-12,-3.749499285541258e-11
8,38.00008,1,0.0,-0.0
9,42.75009,1,4.33661718027775e-14,1.3388695656091123e-14
10,47.500099999999996,1,0.0,-0.0
11,52.25010999999999,1,-3.7981842681598305e-17,3.847081128253773e-17
12,57.000119999999995,1,0.0,-0.0
13,61.75013,1,2.2047676798689276e-20,-8.773558553445152e-20
14,66.50013999999999,1,0.0,-0.0
15,71.25014999999999,1,-2.5987069938819918e-20,-4.041863312492776e-20
16,76.00016,1,0.0,-0.0
17,80.75017,1,-4.3341320952214484e-21,3.7804540867276856e-20
18,85.50018,1,0.0,-0.0
19,90.25019,1,4.357120354733995e-21,1.1297017948791186e-20
20,95.00019999999999,1,0.0,-0.0
1,4.75001,2,0.12157241551964486,-0.07973640247896831
2,9.50002,2,0.0,-0.0
3,14.250029999999999,2,1.3738923117032356e-5,6.46274778537657e-5
4,19.00004,2,0.0,-0.0
5,23.750049999999998,2,-5.339393936485103e-8,-9.186223725468122e-9
6,28.500059999999998,2,0.0,-0.0
7,33.250069999999994,2,2.7904331452598226e-11,-4.5144380468722644e-11
8,38.00008,2,0.0,-0.0
9,42.75009,2,3.339717713998316e-14,4.567840828773428e-14
10,47.500099999999996,2,0.0,-0.0
11,52.25010999999999,2,-6.141842407969045e-17,1.533211162998158e-17
12,57.000119999999995,2,0.0,-0.0
13,61.75013,2,6.727366133627566e-20,-7.637043781345438e-20
14,66.50013999999999,2,0.0,-0.0
15,71.25014999999999,2,-7.930054606641464e-21,-5.202835082303222e-20
16,76.00016,2,0.0,-0.0
17,80.75017,2,-1.9236341094525553e-20,3.609606509077328e-20
18,85.50018,2,0.0,-0.0
19,90.25019,2,3.726938427277983e-22,1.2833762064459481e-20
20,95.00019999999999,2,0.0,-0.0
