mode,frequency_GHz,node,real,imag
1,4.75001,1,-0.013189736218637355,0.008651273221684436
2,9.50002,1,0.0,-0.0
3,14.250029999999999,1,2.6395682539009788e-5,5.666151423326909e-6
4,19.00004,1,0.0,-0.0
5,23.750049999999998,1,-2.3497663046930487e-8,2.2306503448216133e-8
6,28.500059999999998,1,0.0,-0.0
7,33.250069999999994,1,-7.990410731380118e-12,-3.749499275082468e-11
8,38.00008,1,0.0,-0.0
9,42.75009,1,4.336629629025739e-14,1.3388728373623912e-14
10,47.500099999999996,1,0.0,-0.0
11,52.25010999999999,1,-3.801277219204297e-17,3.850350772199965e-17
12,57.000119999999995,1,0.0,-0.0
13,61.75013,1,-4.333875266480898e-20,-5.488667677660123e-20
14,66.50013999999999,1,0.0,-0.0
15,71.25014999999999,1,2.728701040163939e-20,5.618403844062496e-20
16,76.00016,1,0.0,-0.0
1,4.75001,2,0.12157241551964594,-0.0797364024789705
2,9.50002,2,0.0,-0.0
3,14.250029999999999,2,1.3738923117034449e-5,6.462747785376725e-5
4,19.00004,2,0.0,-0.0
5,23.750049999999998,2,-5.33939393653383e-8,-9.186223725215118e-9
6,28.500059999999998,2,0.0,-0.0
7,33.250069999999994,2,2.790433136984573e-11,-4.514438034750446e-11
8,38.00008,2,0.0,-0.0
9,42.75009,2,3.3397277266545586e-14,4.5678533696523524e-14
10,47.500099999999996,2,0.0,-0.0
11,52.25010999999999,2,-6.146927239972945e-17,1.534596568050048e-17
12,57.000119999999995,2,0.0,-0.0
13,61.75013,2,-1.5045740426994344e-20,-7.722695918261852e-20
14,66.50013999999999,2,0.0,-0.0
15,71.25014999999999,2,2.1868037615395958e-21,6.837450425050992e-20
16,76.00016,2,0.0,-0.0
