mode,frequency_GHz,node,real,imag
0,0.0,1,0.0,-0.0
1,16.0,1,0.0009473278864900903,-0.004547064492627254
2,32.0,1,9.4737351376184e-6,-2.1277589007488633e-5
3,47.99999999999999,1,3.90684023580826e-7,-5.774597182812602e-7
4,64.0,1,5.046046141921927e-8,-5.533050834110146e-8
5,80.0,1,-4.046281585450901e-9,3.525430128613843e-9
6,95.99999999999999,1,8.318308633421258e-11,-5.991518069744298e-11
7,112.0,1,-6.005853443631287e-13,3.671641152160726e-13
8,128.0,1,-3.890914064070863e-15,2.014256762121113e-15
9,144.0,1,1.4815883616984353e-15,-6.733344606282191e-16
10,160.0,1,-8.000076059025806e-17,3.2241943152220505e-17
11,176.0,1,1.5972758515111847e-18,-5.77391258699853e-19
12,191.99999999999997,1,-2.6640827099102154e-21,2.9995431261722975e-21
13,208.0,1,4.935090656875602e-22,-3.0965575620126283e-22
14,224.0,1,9.8670439923194e-22,1.1492297274275826e-21
15,240.00000000000003,1,1.3834680407122316e-21,1.1498929610094262e-21
16,256.0,1,4.802268224950949e-21,-1.3662442606741725e-21
0,0.0,2,-1.392428618127254,-1.1463401943229369e-6
1,16.0,2,0.019773836026307355,-0.0005269800226068871
2,32.0,2,5.351909838087188e-5,-1.535230337581888e-6
3,47.99999999999999,2,1.1875805842509548e-6,-3.6386276678546045e-8
4,64.0,2,1.0772698575106199e-7,-2.9738587163816527e-9
5,80.0,2,-6.96528703887347e-9,1.684309533871032e-10
6,95.99999999999999,2,1.2452346369566038e-10,-2.4199380797868885e-12
7,112.0,2,-8.177284569523172e-13,1.1406504210665671e-14
8,128.0,2,-4.933212007242611e-15,-2.2064866930724657e-18
9,144.0,2,1.7912937971343137e-15,9.13467358635579e-18
10,160.0,2,-9.334745848968505e-17,-9.222982024104868e-19
11,176.0,2,1.8145574122216085e-18,2.4540315497375853e-20
12,191.99999999999997,2,-3.699708537088724e-21,2.0789706546286854e-21
13,208.0,2,5.921733173361014e-22,-1.5227742638265118e-22
14,224.0,2,6.463744495241389e-22,1.4412198764141724e-21
15,240.00000000000003,2,1.0656136025429512e-21,1.5320545856106905e-21
16,256.0,2,5.155795151735846e-21,-1.2214869007461368e-22
0,0.0,3,-1.392428618127254,-1.1463401943229369e-6
1,16.0,3,-0.03835238897414061,-0.0001470742457630051
2,32.0,3,-0.0005686232191960004,-5.414080014428863e-6
3,47.99999999999999,3,-2.9454263382536832e-5,-4.1348838410363723e-7
4,64.0,3,-4.771573743036816e-6,-9.141912572569128e-8
5,80.0,3,4.809068074860492e-7,1.0527218508921374e-8
6,95.99999999999999,3,-1.2334269763998145e-8,-3.0296237157802105e-10
7,112.0,3,1.0985343861285396e-10,3.0133488963356348e-12
8,128.0,3,8.626823686202277e-13,3.374677333544179e-14
9,144.0,3,-3.9548986236618307e-13,-1.627713783444321e-14
10,160.0,3,2.539372652623111e-14,1.1049953150747364e-15
11,176.0,3,-5.963448034541457e-16,-2.6805292333410895e-17
12,191.99999999999997,3,1.4697774366629733e-18,-7.699657694621414e-19
13,208.0,3,-2.732649195229828e-19,6.22844210517475e-20
14,224.0,3,-3.233283083626911e-19,-7.741787123505651e-19
15,240.00000000000003,3,-6.262145648394006e-19,-9.491405645176982e-19
16,256.0,3,-3.573187122750057e-18,1.7502103604380155e-21
0,0.0,4,0.867012749027153,-1.146338909197551e-6
1,16.0,4,0.024274584674816777,-0.00012070274723402056
2,32.0,4,-0.0004788490909830176,-4.635538957122229e-6
3,47.99999999999999,4,-2.5297481318780776e-5,-3.53881708080423e-7
4,64.0,4,-4.1138302708693576e-6,-7.850315720116126e-8
5,80.0,4,4.1585710893831283e-7,9.09662129763306e-9
6,95.99999999999999,4,-1.0642858727638746e-8,-2.615298426731242e-10
7,112.0,4,9.516446312432355e-11,2.5938553896421257e-12
8,128.0,4,7.515806702237022e-13,3.079996313778458e-14
9,144.0,4,-3.856584776693713e-13,-1.58953698592948e-14
10,160.0,4,2.5085130459294594e-14,1.0964056677289095e-15
11,176.0,4,-5.73332859859039e-16,-2.5784268873044575e-17
12,191.99999999999997,4,2.0934050350953303e-18,2.0886557709362374e-18
13,208.0,4,9.405470356933734e-19,-5.437258671937752e-19
14,224.0,4,-1.679918540862279e-18,1.5176946603344754e-18
15,240.00000000000003,4,8.232118134353988e-19,6.421699102208327e-19
16,256.0,4,7.021293021546016e-18,1.6530028294890147e-20
0,0.0,5,0.5780084993514354,-7.642259394650627e-7
1,16.0,5,0.01618305644987785,-8.04684981560181e-5
2,32.0,5,-0.00031923272732200847,-3.09035930475246e-6
3,47.99999999999999,5,-1.6864987545853706e-5,-2.3592113871116194e-7
4,64.0,5,-2.7425535139275617e-6,-5.2335438142542945e-8
5,80.0,5,2.7723807262376153e-7,6.064414201125215e-9
6,95.99999999999999,5,-7.0952391680166565e-9,-1.7435323641919454e-10
7,112.0,5,6.344296985676463e-11,1.729238955339961e-12
8,128.0,5,5.010452651635397e-13,2.0500925040322554e-14
9,144.0,5,-2.571133048172734e-13,-1.0599506946371889e-14
10,160.0,5,1.67173073793544e-14,7.446188522009033e-16
11,176.0,5,-4.1425942272735135e-16,-1.631564409352773e-17
12,191.99999999999997,5,2.894881647278105e-17,1.2777178424968555e-16
13,208.0,5,-1.0743157081338638e-17,8.184431481773253e-17
14,224.0,5,3.931189173656751e-18,2.884682229496601e-17
15,240.00000000000003,5,4.31409201059355e-18,-1.5820815627631417e-17
16,256.0,5,-2.6168019574282166e-17,4.844168467851161e-19
0,0.0,6,0.2890042496757177,-3.8211296973253135e-7
1,16.0,6,0.008091528224938926,-4.023424907800905e-5
2,32.0,6,-0.00015961636366100423,-1.54517965237623e-6
3,47.99999999999999,6,-8.432493772926853e-6,-1.1796056935558096e-7
4,64.0,6,-1.3712767569637808e-6,-2.616771907127147e-8
5,80.0,6,1.3861903631188076e-7,3.032207100562606e-9
6,95.99999999999999,6,-3.5476195840083282e-9,-8.717661820959727e-11
7,112.0,6,3.1721484928382314e-11,8.646194776699805e-13
8,128.0,6,2.5052263258176985e-13,1.0250462520161309e-14
9,144.0,6,-1.2855665240863687e-13,-5.2997534731859445e-15
10,160.0,6,8.358653689677212e-15,3.723094261004522e-16
11,176.0,6,-2.0712971136367585e-16,-8.157822046762155e-18
12,191.99999999999997,6,1.4474408236417992e-17,6.38858921249218e-17
13,208.0,6,-5.3715785406436134e-18,4.092215740902127e-17
14,224.0,6,1.9655945868283492e-18,1.442341114748036e-17
15,240.00000000000003,6,2.1570460052967796e-18,-7.91040781381569e-18
16,256.0,6,-1.3084009787141077e-17,2.4220842339255947e-19
0,0.0,7,0.3337136981719579,1.8940323485276257e-13
1,16.0,7,0.0092498113506637,3.888036873283025e-6
2,32.0,7,1.323101265667853e-5,1.1474619797772624e-7
3,47.99999999999999,7,6.126312444509204e-7,8.78517273637962e-9
4,64.0,7,9.69389767310185e-8,1.90362773301938e-9
5,80.0,7,-9.587098088010932e-9,-2.1085016579546518e-10
6,95.99999999999999,7,2.492820687179996e-10,6.1065954614818005e-12
7,112.0,7,-2.1648777793154944e-12,-6.182768171351654e-14
8,128.0,7,-1.6374293622544134e-14,-4.3432370473396785e-16
9,144.0,7,1.4489605359616842e-15,5.626733584632851e-17
10,160.0,7,-4.548123596660377e-17,-1.2660195899359558e-18
11,176.0,7,3.391526063335041e-18,1.5048514190707659e-19
12,191.99999999999997,7,9.191018991585561e-20,4.2130704420754916e-19
13,208.0,7,1.7889315334366693e-19,-8.931413678097545e-20
14,224.0,7,-1.9993650812981255e-19,3.377784770954635e-19
15,240.00000000000003,7,2.1361757803701859e-19,2.3452961653558365e-19
16,256.0,7,1.5614264773815126e-18,2.1819815377991065e-21
