port,mode,raw_index,real,imag
1.0,0.0,1.0,0.0,-0.0
1.0,1.0,2.0,203.89005233256532,-42.47811586260617
1.0,2.0,3.0,1.3492807894499408,-0.6007602092993959
1.0,3.0,4.0,0.04484843009888034,-0.030342488952242137
1.0,4.0,5.0,0.0049620322120112964,-0.004525287088481769
1.0,5.0,6.0,-0.0003534777136247785,0.0004057009531683993
1.0,6.0,7.0,6.580780752938168e-6,-9.136409957310571e-6
1.0,7.0,8.0,-4.3558626013241474e-8,7.125062423039915e-8
1.0,8.0,9.0,-2.5546108191046737e-10,4.934709095286784e-10
1.0,9.0,10.0,9.057680970046091e-11,-1.9930295408729104e-10
1.0,10.0,11.0,-4.571788504066398e-12,1.1343812494685854e-11
1.0,11.0,12.0,8.586802431516322e-14,-2.375424282737247e-13
1.0,12.0,13.0,-4.659192527683568e-16,4.1381216182026254e-16
1.0,13.0,14.0,5.006287159589642e-17,-7.978692626294661e-17
1.0,14.0,15.0,-1.9281276946144544e-16,-1.6554497618291938e-16
1.0,15.0,16.0,-1.9969535740659408e-16,-2.402590103761534e-16
1.0,16.0,17.0,2.450491865770502e-16,-8.613334790283822e-16
2.0,0.0,18.0,0.0,0.0
2.0,1.0,19.0,666709.9882473748,-92.74335466630558
2.0,2.0,20.0,-0.001627058723859101,-0.1876108746776759
2.0,3.0,21.0,-0.00015256708832532914,-0.01063921768959069
2.0,4.0,22.0,-3.817349679966473e-5,-0.001943919839902141
2.0,5.0,23.0,4.727253309038517e-6,0.00021494240229618657
2.0,6.0,24.0,-1.499770135286193e-7,-6.12232796955074e-6
2.0,7.0,25.0,1.6401437299553084e-9,5.742914205187863e-8
2.0,8.0,26.0,1.2317099567924347e-11,4.6436287659417574e-10
2.0,9.0,27.0,-1.6924955396467855e-12,-4.3584065379192544e-11
2.0,10.0,28.0,4.0141200000777134e-14,1.4420561922824082e-12
2.0,11.0,29.0,-5.004260282735057e-15,-1.1278242464022432e-13
2.0,12.0,30.0,-1.4633198675655265e-14,-3.1923037790304844e-15
2.0,13.0,31.0,3.2288049234949404e-15,-6.4671855443448945e-15
2.0,14.0,32.0,-1.2672021954110776e-14,7.500773412905118e-15
2.0,15.0,33.0,-9.107375614544815e-15,-8.29530849788129e-15
2.0,16.0,34.0,-8.751066587792115e-17,-6.262265211139171e-14
