port,mode,raw_index,real,imag
1.0,1.0,1.0,-7.557111772117719e130,2.8411577894148446e131
1.0,2.0,2.0,0.0,-0.0
1.0,3.0,3.0,-2.620621087187067e130,1.9234738576348974e131
1.0,4.0,4.0,0.0,-0.0
1.0,5.0,5.0,-6.838595627876682e130,-5.987013027168859e130
1.0,6.0,6.0,0.0,-0.0
1.0,7.0,7.0,9.303459669466812e129,5.095813366691269e129
1.0,8.0,8.0,0.0,-0.0
1.0,9.0,9.0,6.895244984966902e129,3.349671233345743e130
1.0,10.0,10.0,0.0,-0.0
1.0,11.0,11.0,-1.834103074437915e130,-3.268741546521824e130
1.0,12.0,12.0,0.0,-0.0
1.0,13.0,13.0,-2.5865217842996948e129,1.6254070272805333e130
1.0,14.0,14.0,0.0,-0.0
1.0,15.0,15.0,5.28332854655988e130,-1.93283749802572e130
1.0,16.0,16.0,0.0,-0.0
1.0,17.0,17.0,2.665146628209726e130,-2.697576228065978e128
1.0,18.0,18.0,0.0,-0.0
1.0,19.0,19.0,1.7675946045274043e130,-5.428103168817306e128
1.0,20.0,20.0,0.0,-0.0
2.0,1.0,21.0,1.538754625279958e137,-1.2111513999152072e137
2.0,2.0,22.0,0.0,0.0
2.0,3.0,23.0,-1.758886828224874e136,5.071598958676225e136
2.0,4.0,24.0,0.0,0.0
2.0,5.0,25.0,-1.7946461851928592e136,-4.706951169036277e136
2.0,6.0,26.0,0.0,0.0
2.0,7.0,27.0,-3.21733335244518e136,5.2320389943751445e135
2.0,8.0,28.0,0.0,0.0
2.0,9.0,29.0,1.0159178627295044e136,1.5047844651177846e135
2.0,10.0,30.0,0.0,0.0
2.0,11.0,31.0,2.4157818010982534e136,6.287287236930012e135
2.0,12.0,32.0,0.0,0.0
2.0,13.0,33.0,8.878621238448294e135,-4.426207120425322e134
2.0,14.0,34.0,0.0,0.0
2.0,15.0,35.0,4.549197840719468e135,-1.9155227536080763e136
2.0,16.0,36.0,0.0,0.0
2.0,17.0,37.0,4.53211576347809e135,3.248256959147982e135
2.0,18.0,38.0,0.0,0.0
2.0,19.0,39.0,7.136889768711243e135,-4.4363490908662704e135
2.0,20.0,40.0,0.0,0.0
